Date,SPP,TL 1st Enc. (mm),Full Tag,11/7/2023,11/9/2023,3/19/2024,3/21/2024,11/4/2024,11/5/2024,3/18/2025,3/20/2025,11/3/2025,11/6/2025,,,,,
11/7/2023,LOC,312,989.001030620161,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,282,989.001030620162,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBT,225,989.001030620163,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBC,313,989.001030620164,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,SRN,383,989.001030620165,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,SCN,83,989.001030620166,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,156,989.001030620168,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,359,989.001030620169,1,1,1,1,0,0,0,0,0,0,,,,,
11/7/2023,LOC,308,989.001030620170,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBT,585,989.001030620172,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,135,989.001030620173,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBC,332,989.001030620174,1,0,0,0,1,1,0,0,0,0,,,,,
11/7/2023,RBT,316,989.001030620175,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,275,989.001030620176,1,1,0,0,0,0,1,1,1,0,,,,,
11/7/2023,SRN,394,989.001030620177,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,172,989.001030620178,1,0,1,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,366,989.001030620179,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,389,989.001030620180,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,SRN,295,989.001030620181,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,371,989.001030620182,1,1,1,1,0,1,0,0,0,0,,,,,
11/7/2023,RBC,309,989.001030620183,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBT,279,989.001030620184,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,SRN,397,989.001030620185,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,423,989.001030620186,1,0,0,1,0,0,0,0,0,0,,,,,
11/7/2023,RBC,330,989.001030620187,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBT,495,989.001030620188,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,373,989.001030620189,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBC,294,989.001030620190,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,428,989.001030620191,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,175,989.001030620192,1,0,1,1,0,1,0,0,0,0,,,,,
11/7/2023,LOC,411,989.001030620193,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,SCN,118,989.001030620194,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,SRN,410,989.001030620195,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,SRN,365,989.001030620196,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBC,317,989.001030620197,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,SRN,429,989.001030620198,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBT,402,989.001030620199,1,1,1,0,1,0,1,1,0,0,,,,,
11/7/2023,SRN,446,989.001030620201,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,394,989.001030620202,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,183,989.001030620203,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBC,307,989.001030620204,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,SRN,393,989.001030620205,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,403,989.001030620206,1,1,0,0,0,0,0,0,0,0,,,,,
3/19/2024,LOC,402,989.001030620206,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,165,989.001030620207,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,339,989.001030620208,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBT,295,989.001030620209,1,1,1,1,0,0,0,0,0,0,,,,,
11/7/2023,LOC,418,989.001030620210,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,200,989.001030620211,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,402,989.001030620212,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,388,989.001030620213,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,SCN,101,989.001030620214,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBT,167,989.001030620215,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,SRN,422,989.001030620216,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,399,989.001030620217,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBT,456,989.001030620218,1,1,1,1,0,0,0,0,0,0,,,,,
11/7/2023,SCN,95,989.001030620219,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,362,989.001030620220,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBT,384,989.001030620221,1,1,0,0,0,0,0,0,0,0,,,,,
11/5/2024,RBT,378,989.001030620221,0,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,140,989.001030620222,1,0,1,0,1,0,0,0,0,0,,,,,
11/7/2023,RBC,341,989.001030620223,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,SRN,366,989.001030620224,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBT,327,989.001030620225,1,0,1,1,1,1,0,0,0,0,,,,,
11/7/2023,SRN,367,989.001030620226,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,360,989.001030620227,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,273,989.001030620228,1,0,1,1,1,0,0,0,0,0,,,,,
11/7/2023,LOC,240,989.001030620229,1,1,0,0,1,0,0,0,0,0,,,,,
11/7/2023,LOC,173,989.001030620230,1,0,1,1,0,1,0,0,0,0,,,,,
11/7/2023,RBT,406,989.001030620231,1,0,1,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,361,989.001030620232,1,0,1,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,342,989.001030620233,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,155,989.001030620234,1,0,0,1,0,0,0,0,0,0,,,,,
11/7/2023,LOC,163,989.001030620235,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBT,381,989.001030620236,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,SRN,426,989.001030620237,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,201,989.001030620238,1,0,0,1,0,0,0,0,0,0,,,,,
11/7/2023,LOC,332,989.001030620239,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,SCN,122,989.001030620240,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBC,362,989.001030620241,1,0,1,0,0,0,0,0,0,0,,,,,
11/7/2023,RBT,399,989.001030620242,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,SRN,438,989.001030620243,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,391,989.001030620244,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,SRN,362,989.001030620245,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,378,989.001030620246,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,150,989.001030620247,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBT,335,989.001030620248,1,1,1,0,1,0,1,1,0,0,,,,,
11/7/2023,RBC,325,989.001030620249,1,0,0,0,0,1,0,0,0,0,,,,,
11/7/2023,LOC,408,989.001030620250,1,1,1,1,0,0,0,0,0,0,,,,,
11/7/2023,SRN,396,989.001030620251,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,SRN,350,989.001030620252,1,1,1,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,151,989.001030620253,1,0,0,1,1,1,1,1,0,0,,,,,
11/7/2023,RBC,352,989.001030620254,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,145,989.001030620255,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBT,455,989.001030620256,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,SRN,396,989.001030620257,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,272,989.001030620258,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,384,989.001030620259,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,382,989.001030620260,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,245,989.001030620261,1,1,0,0,0,0,0,0,1,0,,,,,
11/7/2023,RBC,249,989.001030620262,1,1,0,1,0,0,0,0,0,0,,,,,
11/7/2023,LOC,416,989.001030620263,1,0,1,1,0,1,1,1,0,0,,,,,
