Dec Tag #,Species,Capture_History,LOC,RBT,SRN,RBC,RBS,SCN,LengthFall23,LengthSpring24,LengthFall24,LengthSpring25,LengthFall25,TL 1st Enc,Date 1st Enc,,,,,
989.001030620161,LOC,1000000000,1,0,0,0,0,0,312,316.28,348.63,354.44,380.48,312,11/7/2023,,,,,
989.001030620162,LOC,1100000000,1,0,0,0,0,0,282,286.64,327.91,334.2,366.5,282,11/7/2023,,,,,
989.001030620163,RBT,1100000000,0,1,0,0,0,0,225,230.33,288.55,295.74,339.95,225,11/7/2023,,,,,
989.001030620164,RBC,1100000000,0,0,0,1,0,0,313,317.26,349.32,355.12,380.94,313,11/7/2023,,,,,
989.001030620165,SRN,1100000000,0,0,1,0,0,0,383,386.42,397.65,402.35,413.55,383,11/7/2023,,,,,
989.001030620166,SCN,1000000000,0,0,0,0,0,1,83,90,190,200,274,83,11/7/2023,,,,,
989.001030620168,LOC,1000000000,1,0,0,0,0,0,156,162.16,240.9,249.17,307.8,156,11/7/2023,,,,,
989.001030620169,LOC,1111000000,1,0,0,0,0,0,359,361,379.89,384.99,401.57,359,11/7/2023,,,,,
989.001030620170,LOC,1000000000,1,0,0,0,0,0,231,236.26,292.69,299.78,342.74,308,11/7/2023,,,,,
989.001030620172,RBT,1000000000,0,1,0,0,0,0,585,585.97,537.14,538.66,507.66,585,11/7/2023,,,,,
989.001030620173,LOC,1000000000,1,0,0,0,0,0,135,141.42,226.4,235,298.02,135,11/7/2023,,,,,
989.001030620174,RBC,1000110000,0,0,0,1,0,0,332,333,336,342.1,371.96,332,11/7/2023,,,,,
989.001030620175,RBT,1100000000,0,1,0,0,0,0,316,320.23,351.39,357.14,382.34,316,11/7/2023,,,,,
989.001030620176,LOC,1100001110,1,0,0,0,0,0,275,278,338,340,376,275,11/7/2023,,,,,
989.001030620177,SRN,1100000000,0,0,1,0,0,0,394,397.28,405.25,409.78,418.68,394,11/7/2023,,,,,
989.001030620178,LOC,1010000000,1,0,0,0,0,0,172,185,256.87,264.77,318.57,172,11/7/2023,,,,,
989.001030620179,LOC,1000000000,1,0,0,0,0,0,366,369.62,385.92,390.88,405.63,366,11/7/2023,,,,,
989.001030620180,LOC,1000000000,1,0,0,0,0,0,389,392.34,401.8,406.4,416.35,389,11/7/2023,,,,,
989.001030620181,SRN,1000000000,0,0,1,0,0,0,295,299.48,336.89,342.97,372.56,295,11/7/2023,,,,,
989.001030620182,LOC,1111010000,1,0,0,0,0,0,371,373,382,387.06,402.99,371,11/7/2023,,,,,
989.001030620183,RBC,1100000000,0,0,0,1,0,0,309,313.31,346.55,352.42,379.08,309,11/7/2023,,,,,
989.001030620184,RBT,1100000000,0,1,0,0,0,0,279,283.67,325.84,332.17,365.1,279,11/7/2023,,,,,
989.001030620185,SRN,1100000000,0,0,1,0,0,0,397,400.25,407.32,411.8,420.08,397,11/7/2023,,,,,
989.001030620186,LOC,1001000000,1,0,0,0,0,0,423,424,423.93,428.03,431.28,423,11/7/2023,,,,,
989.001030620187,RBC,1000000000,0,0,0,1,0,0,330,334.06,361.06,366.59,388.86,330,11/7/2023,,,,,
989.001030620188,RBT,1100000000,0,1,0,0,0,0,495,497.06,475,477.93,465.73,495,11/7/2023,,,,,
989.001030620189,LOC,1100000000,1,0,0,0,0,0,373,376.54,390.75,395.61,408.9,373,11/7/2023,,,,,
989.001030620190,RBC,1100000000,0,0,0,1,0,0,294,298.49,336.2,342.3,372.09,294,11/7/2023,,,,,
989.001030620191,LOC,1100000000,1,0,0,0,0,0,428,430.87,428.73,432.72,434.52,428,11/7/2023,,,,,
989.001030620192,LOC,1011010000,1,0,0,0,0,0,175,179,274,281.52,330.13,175,11/7/2023,,,,,
989.001030620193,LOC,1000000000,1,0,0,0,0,0,411,414.08,416.99,421.25,426.6,411,11/7/2023,,,,,
989.001030620194,SCN,1000000000,0,0,0,0,0,1,118,125,215,224,290,118,11/7/2023,,,,,
989.001030620195,SRN,1100000000,0,0,1,0,0,0,410,413.09,416.3,420.57,426.13,410,11/7/2023,,,,,
989.001030620196,SRN,1100000000,0,0,1,0,0,0,365,368.63,385.23,390.21,405.17,365,11/7/2023,,,,,
989.001030620197,RBC,1100000000,0,0,0,1,0,0,317,321.21,352.08,357.82,382.81,317,11/7/2023,,,,,
989.001030620198,SRN,1000000000,0,0,1,0,0,0,429,431.86,429.42,433.39,434.99,429,11/7/2023,,,,,
989.001030620199,RBT,1110101100,0,1,0,0,0,0,402,403,410,410,418.83,402,11/7/2023,,,,,
989.001030620201,SRN,1000000000,0,0,1,0,0,0,446,448.65,441.16,444.87,442.91,446,11/7/2023,,,,,
989.001030620202,LOC,1000000000,1,0,0,0,0,0,394,397.28,405.25,409.78,418.68,394,11/7/2023,,,,,
989.001030620203,LOC,1100000000,1,0,0,0,0,0,183,188.84,259.55,267.39,320.38,183,11/7/2023,,,,,
989.001030620204,RBC,1000000000,0,0,0,1,0,0,307,311.34,345.17,351.07,378.15,307,11/7/2023,,,,,
989.001030620205,SRN,1100000000,0,0,1,0,0,0,393,396.3,404.56,409.1,418.21,393,11/7/2023,,,,,
989.001030620206,LOC,1100000000,1,0,0,0,0,0,403,406.17,411.47,415.85,422.87,403,11/7/2023,,,,,
989.001030620207,LOC,1000000000,1,0,0,0,0,0,165,171.05,247.12,255.25,311.99,165,11/7/2023,,,,,
989.001030620208,LOC,1100000000,1,0,0,0,0,0,339,342.95,367.27,372.66,393.06,339,11/7/2023,,,,,
989.001030620209,RBT,1111000000,0,1,0,0,0,0,295,296,334.45,340.59,370.92,295,11/7/2023,,,,,
989.001030620210,LOC,1100000000,1,0,0,0,0,0,418,420.99,421.82,425.97,429.86,418,11/7/2023,,,,,
989.001030620211,LOC,1000000000,1,0,0,0,0,0,200,205.63,271.29,278.87,328.3,200,11/7/2023,,,,,
989.001030620212,LOC,1100000000,1,0,0,0,0,0,402,405.19,410.78,415.17,422.41,402,11/7/2023,,,,,
989.001030620213,LOC,1100000000,1,0,0,0,0,0,388,391.36,401.11,405.73,415.88,388,11/7/2023,,,,,
989.001030620214,SCN,1100000000,0,0,0,0,0,1,101,108,203,212,282,101,11/7/2023,,,,,
989.001030620215,RBT,1000000000,0,1,0,0,0,0,167,173.03,248.5,256.6,312.92,167,11/7/2023,,,,,
989.001030620216,SRN,1000000000,0,0,1,0,0,0,422,424.94,424.59,428.67,431.72,422,11/7/2023,,,,,
989.001030620217,LOC,1100000000,1,0,0,0,0,0,399,402.22,408.7,413.15,421.01,399,11/7/2023,,,,,
989.001030620218,RBT,1111000000,0,1,0,0,0,0,450,456,446.29,449.88,446.37,456,11/7/2023,,,,,
